cursor timestamp xpos ypos event xpath attrs extras
0 1551383934678 1394 1603 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934685 1394 1621 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934687 0 0 scroll / {} {}
0 1551383934696 1394 1636 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934700 1394 1651 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934704 0 0 scroll / {} {}
0 1551383934709 1394 1670 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934715 1394 1681 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934720 0 0 scroll / {} {}
0 1551383934723 1394 1689 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934730 1394 1704 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934737 0 0 scroll / {} {}
0 1551383934739 1394 1711 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934745 1394 1724 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934752 1394 1732 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934754 0 0 scroll / {} {}
0 1551383934760 1394 1739 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934767 1394 1747 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934770 0 0 scroll / {} {}
0 1551383934776 1394 1754 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934782 1394 1762 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934787 0 0 scroll / {} {}
0 1551383934790 1394 1767 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934804 0 0 scroll / {} {}
0 1551383934806 1394 1773 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934813 1394 1775 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934820 0 0 scroll / {} {}
0 1551383934887 1394 1778 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934889 0 0 scroll / {} {}
0 1551383934898 1394 1771 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934903 1394 1752 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934904 0 0 scroll / {} {}
0 1551383934912 1394 1722 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934917 1394 1696 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934920 0 0 scroll / {} {}
0 1551383934926 1394 1683 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
